"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",196800,37181,155584,196985,196634,87146,149381,196986,195195,87146,196986,152277,188665,63904,63904,63904,105082,196986,152277,195195,37181,138081,188665,120222,85941,195195,114113,188665,196986,195195
"2",144395,155584,196800,196982,127262,138081,98007,144395,63904,98007,90338,85941,105083,188665,37181,120222,27343,90374,120222,138082,34267,196982,195195,90374,37181,105083,188665,34267,114113,27343
"3",127262,138081,138082,195612,194788,144395,120222,37181,155584,90374,138080,195612,194788,37181,196634,188665,87146,149381,155584,90374,85941,195195,196986,34267,195195,90338,105083,37181,105083,120222
"4",196634,149381,196985,138081,90374,105082,27343,149381,120222,149381,120222,87146,152277,195612,120222,194788,87146,144395,196634,196982,85941,195612,196985,195195,196800,195612,196986,188665,138080,196800
"5",155584,138082,105082,120222,138080,196982,194788,144395,105083,196986,138080,138082,85941,196985,105082,195612,195195,188665,138080,138080,152277,114113,149381,34267,149381,63904,194788,34267,138081,144395
"6",196800,149381,188665,149381,196800,194788,195195,90338,195195,90374,138081,98007,90374,114113,152277,196800,90374,27343,188665,195195,105082,196985,196982,195612,196800,194788,196634,196985,37180,155584
"7",196985,37181,194788,196986,87146,152277,90338,63904,155584,87146,27343,114113,63904,196634,114113,85941,27343,27343,114113,63904,196800,63904,196985,138081,195195,98007,90374,27343,37180,127262
"8",37180,196985,188665,98007,196800,196985,152277,194788,114113,144395,87146,155584,138082,90374,90338,196985,87146,98007,196986,195195,37180,63904,138081,27343,196634,37180,144395,138080,138081,149381
"9",196986,195612,138080,98007,37180,37181,105083,105083,105082,120222,144395,34267,149381,37181,63904,37180,195195,98007,196982,120222,138082,105083,196634,90374,196986,194788,196800,114113,37180,90338
"10",138082,127262,196634,114113,194788,196985,155584,90338,127262,37181,195612,63904,196985,127262,34401,105082,90338,114113,127262,196800,127262,114113,120222,105082,120222,194788,37180,138081,85941,144395
"11",196800,196982,138080,196986,114113,138082,37181,196634,127262,85941,152277,195195,105083,196982,34401,188665,196986,37180,152277,87146,195195,27343,138082,105083,85941,105083,188665,196800,138081,196985
"12",196982,138081,120222,34401,87146,196982,195612,34267,195612,144395,105082,37181,196985,196982,114113,37181,90338,196985,98007,85941,138080,195195,196985,114113,196985,196800,127262,195195,114113,105082
"13",90338,195612,87146,120222,195195,144395,196986,196800,34401,149381,188665,127262,155584,34267,138082,188665,196800,105082,196986,34401,90338,152277,195195,138080,196985,155584,63904,63904,188665,188665
"14",90338,27343,34401,85941,127262,34401,196634,188665,85941,194788,196634,188665,90338,196634,120222,34267,144395,155584,63904,138081,138080,37181,34401,27343,194788,144395,98007,138081,149381,196982
"15",194788,138081,195195,34267,138080,90374,196800,34401,195612,37180,34401,34401,149381,90374,195195,85941,196985,196985,144395,196985,105082,34401,138080,138081,37181,155584,120222,114113,195195,37181
"16",196982,90374,27343,195195,34401,195195,34401,138082,155584,196634,188665,188665,149381,155584,34267,144395,90338,155584,37180,27343,105083,138080,34401,37181,90338,196982,85941,196986,87146,144395
"17",196982,90338,90338,37180,138082,194788,152277,138082,195195,138080,87146,196982,37180,188665,34401,37180,63904,114113,196634,144395,90374,196985,196800,196982,63904,188665,63904,155584,149381,98007
"18",138081,120222,152277,195612,37181,90338,34401,105083,34267,85941,196982,120222,34267,37181,114113,114113,196800,27343,195612,138081,85941,155584,144395,127262,195195,63904,63904,27343,37181,155584
"19",37181,195612,196985,34401,85941,188665,87146,155584,196982,138080,144395,196634,127262,34267,144395,37180,194788,194788,155584,196982,195612,127262,138082,138082,34267,120222,138082,27343,98007,34267
"20",138080,196800,196982,196985,34267,90338,152277,114113,90374,149381,149381,120222,120222,85941,196982,85941,195195,27343,63904,90338,196634,98007,138080,105082,144395,196800,195195,188665,155584,114113
"21",194788,196985,120222,195195,114113,114113,149381,98007,152277,144395,98007,155584,85941,196982,27343,37180,149381,188665,85941,37181,196634,37180,196982,63904,98007,138080,114113,63904,114113,98007
"22",37180,105082,155584,144395,90374,34267,87146,144395,194788,37181,27343,27343,63904,120222,90338,144395,34267,98007,63904,196982,37181,195612,152277,37180,138080,138080,37180,90338,34401,144395
"23",196985,144395,85941,196985,195612,34401,127262,155584,196982,105082,144395,196800,105083,98007,196985,138080,138080,27343,149381,90374,34267,138082,127262,196800,37181,90374,37181,114113,138080,127262
"24",63904,195612,37181,34267,37180,194788,196985,37181,105082,194788,87146,138081,194788,196634,87146,85941,196634,188665,195195,105082,138081,196634,194788,196982,149381,149381,196986,120222,34267,37181
"25",144395,105082,34267,105082,155584,90338,90374,152277,37180,194788,63904,195612,196982,90374,144395,194788,138082,34267,105083,37181,127262,152277,85941,195195,196982,120222,105083,152277,98007,196982
"26",196985,149381,87146,138082,114113,196985,34401,195612,194788,195195,196985,85941,155584,98007,37181,138080,114113,34401,105082,196634,27343,195195,195195,87146,138081,196986,144395,127262,194788,195612
"27",138080,37181,37180,98007,195195,138081,152277,138082,155584,196985,149381,155584,85941,196634,98007,196634,37181,114113,196985,37181,87146,196986,105082,144395,195195,63904,138081,114113,34267,127262
"28",90374,144395,196800,149381,37181,138081,85941,87146,34401,90374,105082,196986,114113,152277,37181,138080,195612,105082,196634,152277,63904,188665,149381,27343,152277,196986,196800,138080,152277,90338
"29",155584,105082,144395,138081,138080,120222,138082,144395,196982,144395,37181,37180,196982,127262,155584,105083,37181,138080,152277,196985,90338,196800,105082,138082,149381,149381,196985,149381,105082,188665
"30",63904,37180,196634,138082,196634,138082,195195,195612,152277,196985,188665,195612,144395,37181,196985,144395,63904,188665,90374,105082,196800,196800,98007,194788,37180,105083,196986,63904,149381,90374
"31",196634,196982,144395,188665,127262,196634,85941,63904,85941,87146,114113,144395,138081,138082,196985,27343,196800,105082,34267,114113,138081,196800,34401,195195,34267,37181,195612,138081,85941,196986
"32",195612,87146,196982,196982,120222,90338,138081,144395,196982,195195,196634,196986,138081,155584,196986,120222,85941,105082,63904,188665,188665,194788,114113,195612,37180,194788,98007,196985,138080,144395
"33",37180,105083,27343,34401,155584,90374,155584,188665,120222,37180,195612,194788,144395,196800,196634,138082,90338,98007,196982,196800,144395,196982,37180,195195,196634,196634,195195,194788,196985,194788
"34",196985,105082,155584,196982,98007,196986,37180,138081,196634,27343,105082,90338,105082,152277,105083,195195,194788,127262,144395,90374,37180,196985,27343,114113,37180,34401,188665,90338,98007,152277
"35",85941,34401,98007,149381,34267,196982,195612,196985,27343,127262,90374,98007,188665,138081,196800,144395,138081,138080,196800,34267,138080,196982,155584,144395,149381,34401,196634,144395,138081,27343
"36",196982,196634,114113,196982,105083,138081,138080,114113,138080,90338,195612,138081,196982,196982,195612,149381,138081,98007,196985,120222,90338,155584,63904,196985,34267,34401,34401,196985,155584,90374
"37",27343,144395,138081,34401,196800,196985,34267,63904,196985,138082,195612,195195,105082,149381,98007,105083,155584,138081,98007,105083,196986,138081,196986,34267,37181,90374,105083,87146,155584,196800
"38",138082,120222,155584,144395,114113,98007,63904,98007,196982,195612,149381,188665,149381,155584,149381,196985,195612,196985,98007,98007,34401,152277,37181,27343,34401,138082,194788,63904,63904,195612
"39",27343,195195,144395,195195,155584,194788,120222,196800,144395,196986,120222,87146,63904,196634,138081,155584,114113,196800,37181,196982,138081,195195,27343,90338,194788,138082,144395,144395,195612,114113
"40",152277,188665,105083,63904,188665,194788,155584,195612,195195,196634,105083,34401,195195,98007,63904,149381,90338,194788,196985,127262,149381,85941,90374,149381,138082,196800,120222,34267,37180,90374
"41",98007,37181,196985,196982,155584,34401,144395,85941,37180,195612,196982,114113,138081,87146,155584,188665,27343,138080,155584,87146,144395,195612,37180,114113,196982,90374,144395,195612,37180,196982
"42",87146,138080,63904,194788,37181,127262,195612,144395,34267,195612,138080,37181,90374,196800,34267,98007,194788,188665,90374,63904,98007,196634,188665,196986,63904,152277,149381,196982,34401,34267
"43",90338,90374,90374,85941,194788,37181,34401,196982,138082,98007,196985,138080,105083,127262,90374,90374,63904,37180,90338,85941,196800,196800,138080,196985,105083,188665,155584,196982,90374,90374
