"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250"
"1",87414,143210,143886,145503,195826,134293,196534,196041,37040,195865,195852,186804,117176,145593,93274,196037,195851,143876,93202,118145,98612,98616,195812,101956,196080,195278,79946,195846,93573,93775,136591,196048,196085,144330,182944,118063,195828,194734,195820,196083,136593,177589,196040,98614,141240,196042,195822,94243,98620,143883,93205,134299,93419,136550,136595,196040,195834,98615,144333,136548,98595,195834,189553,143870,195873,98616,196036,196030,120298,134164,195826,182943,195872,28398,98620,105718,94246,93205,195805,195805,195817,144318,182942,143886,196092,196078,190071,145503,94541,98620,93202,144322,94240,95077,101956,120298,93577,143871,98602,118150,195831,195797,195869,195846,196054,141239,120231,195873,145565,87410,196040,136549,196058,95105,195844,196035,196039,94369,144083,145516,196053,105602,196087,117176,136549,117152,196079,143196,196094,196036,195842,195868,93577,195866,98615,94243,195612,195846,143883,143874,136407,143871,195812,195823,93573,118145,144322,98595,173720,117149,196534,195811,189566,144128,196045,112284,195832,196087,195849,196085,195826,155373,195874,144327,195823,196081,144327,195836,196040,195880,143196,196034,143196,195805,144323,98612,195875,143206,93274,144043,28397,196039,27265,80140,145503,195201,144322,98616,182944,195813,195836,144321,195812,98617,98611,117176,145516,95105,195824,120231,87410,176503,157208,94236,144318,136550,143871,118150,13043,195869,120366,98611,196086,195879,144327,136407,177589,94238,155373,195865,143886,94238,136592,174111,195841,195824,95077,136548,98611,196083,135406,93201,37036,182942,118145,37038,196085,87414,28397,195816,136591,143873,196029,144086,117149,195872,95077,94369,94247,195827
"2",28398,194734,135406,196042,192168,136590,117524,195838,143692,120232,38528,136595,157208,94243,143474,195839,136547,95106,136546,195868,136550,143872,98595,196087,195839,196045,134293,120366,145594,196045,143196,143875,120228,136569,120366,120366,195842,95116,78686,95109,118063,144323,195814,120228,143203,195869,85454,98618,196041,195849,134164,94237,195852,196052,195612,195816,196035,196078,118148,196036,93382,196039,143873,93205,196078,143204,144083,195865,144128,85453,98618,195852,93419,27343,195828,192165,195808,195835,136591,13043,173843,144128,37036,196078,144330,195819,95106,195836,94236,145565,119513,196800,120298,195850,136407,98614,195832,155373,93274,196057,196041,195831,117176,93572,196047,143875,196040,98619,134164,80140,195201,117149,195865,195830,144086,98620,196046,120298,27265,98614,78686,98618,143882,137124,136407,144328,27343,144129,94247,195821,105602,94369,195817,144328,98620,118147,196041,196031,143873,144330,120366,136568,195851,196058,171371,196057,28397,195828,196084,196051,196046,173843,93201,196039,98613,27265,144043,95077,39811,143485,94237,97732,195822,94246,93276,98611,93201,144327,189460,195831,85453,195867,136594,195827,143878,118149,182944,93419,195870,94237,145565,196078,144043,144328,93385,196081,143874,195871,195874,196058,195871,94238,195820,144043,144083,136548,196033,144083,87414,195836,145594,118148,136569,118149,93385,93205,93276,28396,195869,143692,136407,117524,192165,136547,93205,196091,189569,119513,94247,195868,118150,195810,114113,195827,195824,195876,118143,195809,144331,117152,182942,144320,195814,27266,47293,196054,195824,28396,98613,155584,196534,195826,195880,196048,196080,195281,182943,192168,195836,143196
"3",195838,143882,195827,144128,178125,195810,120231,195827,28397,93419,120232,144128,118148,95109,144328,196036,195878,196058,195844,120298,94246,135406,196091,79946,195810,101956,195819,85453,195834,98617,143883,157208,195866,143877,157208,195844,189460,195812,134163,196080,144328,194734,144322,143203,196029,196087,93203,174112,85454,143886,195825,98616,117176,195828,155584,195868,137124,93577,192165,143874,80140,144086,196057,136594,117523,141239,143871,95106,189460,47293,143481,195837,196043,192168,186804,196085,195831,195874,95109,120298,93573,196079,196059,134293,101069,118150,94237,143196,93203,120230,196051,196048,196084,196048,93572,93274,136595,95106,195851,196084,120232,79946,190071,143474,136594,196078,85957,196087,145593,117149,98611,196078,157208,143870,195824,95106,85452,38528,196035,195865,195810,196084,195836,195876,37040,136594,196057,144048,143474,85560,105775,94246,157208,195843,196669,117152,145516,136589,195809,114113,141239,196030,195807,98602,190071,144330,195835,192169,143485,118146,120372,195819,118150,195281,118149,143692,117176,144330,196043,47280,195838,28396,136549,134299,28479,143870,39811,93573,105775,79946,94369,118143,144321,143196,120232,98619,144325,196094,136594,117524,136592,78686,98612,144320,105043,196051,143210,94246,39811,143882,118144,196049,195867,196091,143692,196059,27266,195869,195825,117523,195281,195839,196049,143206,144129,136568,171371,143870,143882,144129,39811,144331,196058,136569,118149,118146,195850,195812,196079,196052,195278,98611,143882,141239,195826,134293,196534,98602,94246,95109,195824,143873,93203,143875,195876,192169,196078,143870,195868,137124,195816,85453,195843,94369,37036,195846,93385,195827,144331,93385
"4",136593,196080,94541,196029,27265,195821,195786,145593,143714,93202,195852,196079,145503,95106,195201,195805,196080,195849,117524,174111,144048,144321,28398,136569,47293,98611,105043,144318,196059,182944,143873,93201,93201,157208,94237,143206,195871,196668,143877,174112,39811,144318,145565,93104,136590,195875,143877,134293,79946,195878,182944,144320,174112,196668,28396,195852,195866,93419,144043,196669,85452,143870,92309,114113,136548,196039,195837,196668,95106,85957,144333,85452,195836,120298,118147,195879,144128,195815,196669,97732,134163,144331,144331,87410,196800,195831,136589,195812,144325,105602,195842,155584,182943,186804,195844,196033,144083,196053,120231,195831,120228,196080,136591,95109,195808,79946,114113,144320,195823,93419,144129,143210,173720,195811,117523,136568,196043,196033,134163,136550,192167,192169,105608,80140,195843,98611,196052,143871,27343,195832,98602,143886,196048,195846,195866,105043,118143,143870,136546,144328,85452,189569,98620,195814,196049,196079,196057,94236,137124,195867,195828,196043,118063,93577,186804,94369,37040,98617,93202,196669,189566,117176,101069,195843,189553,196037,195840,195278,171371,195281,98612,144083,94247,195821,144330,196030,85942,28398,143882,174112,195805,98611,136407,144321,195824,93573,98611,143878,195823,85942,144048,143206,144323,117176,136589,118147,195841,195852,143206,194734,136407,196086,196045,196053,143878,47280,93577,196042,79946,195841,120372,109489,144318,196053,195872,189566,196088,136549,196038,195878,94237,143886,182943,119513,196669,98620,117523,98618,136592,195820,93572,93202,98620,38528,143204,98611,182943,144327,144321,80140,192167,196045,144321,118144,195867,93205,196058,195811,143481,144328
"5",134516,118145,173720,143481,120232,196032,94240,174111,98595,98602,196031,95116,144128,144048,196045,120372,145594,177589,145565,195838,196800,47293,93203,117524,196032,196029,196057,94247,134516,195813,105608,196059,195821,98614,195865,195807,144331,196079,105602,196086,101069,78686,144321,155373,196058,117149,186804,196054,136590,192168,196046,134299,195876,194734,136590,189553,95116,195278,195812,27266,145516,95077,117176,101069,95105,98612,118149,195838,47293,195842,195810,195830,196669,195815,195819,143872,196534,28398,189460,78686,196092,39811,85453,195852,189553,195871,118147,85957,196051,195876,143878,143203,195824,117523,98618,118145,136568,195817,173843,195837,85454,195823,195810,173720,141239,143870,196038,47280,182943,28398,39811,195831,196042,105608,112284,195834,144318,79946,195865,144048,118146,47293,196039,196668,196046,136549,144043,144331,94236,98614,196087,143210,195278,196092,93104,136594,105043,85452,117524,85454,98613,109489,196034,195842,143203,78686,120230,145503,144048,195837,136547,155584,120232,196081,195838,195281,155584,47280,195865,136569,80140,196668,85957,196092,195832,85957,144323,136407,79946,195850,195815,195786,94238,95105,196041,195824,134164,94243,196040,173843,194734,134293,195871,136407,94369,136595,120372,93276,196092,196668,117149,94369,195844,195786,98615,195873,195813,136595,196058,155584,94236,37037,196057,136591,144086,195828,195820,195841,195829,93201,101956,94246,195832,134293,196800,195832,195818,196092,195815,118144,195201,95077,195851,195846,195817,195805,196058,155584,195201,98620,192168,195849,136409,195835,195797,195852,196084,93573,195805,136409,196048,196044,190071,195823,182944,196080,143876,105775,173720,196046
"6",143873,95106,195834,143474,38528,120230,120230,196092,144331,195871,143871,39811,98613,144083,144083,196052,93104,196079,195873,196534,94246,87414,94237,196094,85452,143883,145565,195822,93205,145565,196669,143481,28396,186804,195828,195786,98618,143892,136592,196035,85454,196049,37037,174112,195851,195850,118144,120228,137124,136545,145516,136545,120372,145516,195837,195872,196029,98619,195837,144327,195835,119513,195832,101956,196038,196058,194734,177589,143874,195852,98602,195819,118148,196046,195841,93572,195836,87410,195851,143474,195850,95105,182944,143873,134293,117523,182943,176503,143878,98611,120298,195811,143692,38528,192167,143882,144128,143203,196080,195841,196042,196091,143481,196030,196048,135406,27343,195786,144327,93276,85957,157208,144128,93205,196052,143204,144320,143692,143877,28479,98619,93573,190071,136589,196047,120228,119513,39811,196053,195278,195829,196078,195871,145516,143892,195834,196083,155584,144325,195839,80140,195612,143485,118147,93572,93202,93775,143892,174112,144333,196049,93104,195809,196034,93577,196029,195820,178125,136594,196029,27265,155373,79946,136594,27266,195851,28397,93201,195869,196057,105043,186804,98615,120366,98595,196054,95116,196046,114113,118146,143870,118145,144318,27343,144083,105775,195843,136546,195821,117149,195852,13043,196054,196086,143886,157208,136546,93577,195826,85560,136409,136593,134516,98617,195851,120231,176503,195838,95109,136594,195850,195201,177589,95077,195816,141239,195838,195807,195797,195814,196094,143714,195201,118063,143206,196057,136548,195278,196046,120366,182944,196083,196085,94247,143892,120298,98614,39811,93203,94243,195281,195808,145516,195841,194734,192167,85560,37038,196053,196080
"7",182942,196058,196030,94237,195817,189553,196044,143714,196091,190071,196045,136548,144083,195816,196088,173720,195872,97732,195797,157208,47280,196038,195866,27343,144083,196033,195850,143481,195840,38528,93572,195838,196088,136568,118143,143692,118148,93203,196668,196092,98619,120231,195842,143877,143871,195823,118063,136545,195868,195816,118150,141240,118146,87414,120228,145594,95105,178125,195817,85942,196053,136589,143481,143871,195844,195814,195834,144323,136409,195841,173720,195867,195820,92309,178125,136548,173843,195834,195851,27343,87410,117149,120298,192169,196087,196043,136590,79946,145594,195870,196030,98616,105043,98619,134163,93382,196054,93572,93104,177589,189566,190071,195822,190071,143485,195808,93276,192167,144048,92309,144328,195820,195828,196087,95106,93202,105608,196800,144323,141240,144333,37037,37038,196032,94247,196030,196044,195830,195873,196054,94237,196669,195811,195838,196036,195829,105775,95077,94236,196087,37040,195841,120228,196669,195844,195812,143882,135406,93205,143882,195839,98617,27265,144083,196092,143714,195849,144325,195823,196042,195832,119513,144328,195828,195797,120228,155584,85957,196042,93775,195828,105608,195797,143203,195201,136545,143474,196084,195875,79946,134163,195831,87410,98614,195201,196053,94243,144321,143874,195867,195612,143474,195278,144328,118144,195841,144333,141239,136569,195868,144327,195822,195812,144043,195827,195829,135406,28397,85942,195879,196044,182944,136595,47293,173843,47280,136593,195829,94369,195805,117523,137124,137124,37038,182944,195201,136593,195838,143872,85452,196042,112284,38528,144083,143883,118143,145594,85560,105608,195872,136589,195807,195836,195869,85453,195811,120230,195201,195830,136546
"8",182942,143883,105602,93382,93577,178125,171371,85942,174111,134299,195825,195870,93573,136546,136547,196091,195812,195805,196086,195201,144328,118149,196058,195875,136569,98617,145565,118063,189569,117176,47280,118145,93419,195873,173720,195201,143871,98612,144128,196043,80140,144328,143714,136595,155373,144331,195836,120230,195821,195844,195797,118145,117152,195879,143203,145516,192165,85957,196094,195869,98618,195836,195873,143714,195813,196046,195816,195823,182944,105608,174111,144048,182944,195819,120232,143485,134293,143485,195841,196054,101069,118146,195281,196044,98618,195865,196033,157208,120231,94243,192167,195813,196091,189566,112284,143871,143203,144320,144318,196051,195850,136569,143204,195871,196084,195872,143874,195836,93572,144330,195814,117524,196047,95109,144333,145503,143883,195818,196081,118149,196040,195828,134299,196051,143882,93104,94237,95077,195842,94238,195816,143873,98602,196059,196044,196049,196044,196086,145565,195813,196094,195850,196083,196037,195829,136593,195809,95109,85454,143692,195842,94240,195865,98618,143876,196087,143871,134299,117523,136546,93572,144083,98602,195786,120231,143870,196080,136569,195835,196041,195838,143474,13043,196800,143886,136549,92309,94247,195868,94238,105602,196034,94369,195828,195840,136592,195866,143886,196091,119513,145565,196057,137124,177589,173720,196669,85452,136590,195816,196088,195880,195816,37040,195852,143871,80140,196086,195817,195827,143876,78686,136595,136545,37040,94369,141239,94240,192169,192167,195797,101956,196030,195837,196059,195810,118144,95105,192168,195832,196094,98619,195822,155373,177589,195819,195812,196078,93573,119513,196048,195852,79946,144048,120231,196080,186804,143203,145516,195867,79946
"9",189566,195821,118063,98620,93775,143210,93775,47293,195876,101956,112284,157208,189569,196040,143875,118148,182944,117523,173720,195823,176503,144333,196053,195786,173720,94240,196029,196034,173720,195813,144325,196045,195843,190071,120366,143874,157208,141240,195841,195812,144043,93201,196534,143886,144318,136407,143485,120228,38528,98615,143872,196033,145503,143886,195809,97732,118146,196080,143204,195805,196052,195842,136547,195808,117176,92309,93382,196668,196044,118144,98595,196086,143872,143873,195831,28397,182943,192168,195868,195824,196036,196081,105602,196035,196080,144333,195850,176503,118147,145565,118145,28479,195823,195810,196058,101069,196033,93775,117149,195878,144330,190071,195826,195838,105608,144129,196087,144086,28479,94369,38528,195837,195874,120298,145565,105608,136407,143692,134163,101956,93572,196039,80140,143714,143481,79946,85942,144327,196044,196081,196040,117176,28397,192165,94236,93382,195816,196087,195813,98616,39811,27266,136409,136407,174112,143892,101956,143870,120232,118144,196092,196040,134293,195797,196088,195872,195612,195826,195834,195821,155584,28479,28397,196031,109489,136546,196051,136549,94541,136591,195866,38528,143882,145503,143481,143481,39811,143883,101956,143886,98595,95077,95106,195869,192169,196058,196083,144318,134516,195815,141239,95077,143872,143874,143692,136549,98619,195825,39811,196044,93577,28398,192165,195811,136590,176503,28398,195866,39811,85453,98617,98619,120298,196800,195809,98614,195811,141240,177589,137124,118150,196085,196092,195869,182942,144325,136590,195872,98613,196033,144048,143204,195866,94240,196800,195879,94237,189569,195819,94236,195813,136592,93572,143481,196534,134516,93382,195822,195879,195813
"10",192168,136591,38528,176503,93203,186804,195831,143886,196094,120366,120298,85453,98612,98615,195821,196039,101069,174111,174111,118146,189553,143874,144320,143883,143203,47280,136549,136547,144318,189569,195818,145565,27343,195812,105608,143474,112284,120228,196030,196036,155584,27343,195824,136592,195816,145594,195612,196087,79946,98611,98617,189553,143883,196094,118146,196052,173843,195823,98618,195820,196057,28398,136549,195841,144325,143714,120372,145565,178125,196041,105602,143485,93385,80140,93201,105608,141239,195844,109489,195825,144321,93104,143877,196668,196041,117523,144323,144128,195820,118149,195832,144318,195838,27266,136545,39811,95077,190071,177589,87414,37040,144327,117152,195871,136409,93572,136569,195823,196052,93201,134293,120298,173720,98614,195813,195281,195830,85942,98618,93382,98616,144333,196030,145565,93203,196030,195840,141239,85452,173720,118146,195818,195825,95109,196035,136409,194734,37037,195832,196083,136590,196085,195842,118148,143886,85454,195843,93276,98612,195822,137124,98617,37041,144322,94236,195849,196084,195872,143871,37037,136407,196031,196054,94541,196534,195201,196031,195869,144323,143474,85942,93201,196086,196033,136550,196094,141240,37040,136590,196800,136589,120232,196047,196058,195822,109489,93274,101956,143892,195844,95077,195868,93385,195869,195834,144083,196029,143196,195831,196048,195807,195841,143892,145594,196057,94240,105043,47280,174112,136594,196031,144331,105718,182944,195872,120230,196087,195809,136545,195813,134164,47280,195852,195805,93572,98615,98620,195844,87414,28397,143481,196049,120372,13043,195835,196080,143882,98616,93201,195834,195816,144129,79946,144333,192167,98618,195839,94237,196080,37040
