"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250"
"1",105524,182566,88984,95095,101162,106360,196842,88956,91830,105826,95094,96328,196545,96329,106504,196844,88989,105298,57944,103539,102378,101873,99365,172169,117530,99237,159738,97428,143469,88968,143455,88954,97410,89002,99457,105241,85940,97853,143450,196545,196848,105699,99542,88981,189562,105604,106360,136645,138123,99363,99431,179589,95089,105826,179589,85940,192672,192618,177602,72140,143312,101168,105828,101957,185533,99237,99456,194380,96329,143379,49856,48659,196846,101171,172169,143455,85940,134292,88961,196846,159736,101157,96329,105525,85943,97428,92888,99431,99431,86841,97733,144341,101062,88970,144319,105826,99374,99468,196545,88950,99368,99237,88959,144122,99457,106360,145501,106358,134292,99424,194548,105523,107353,88954,92312,95324,105525,196843,196844,196848,97695,105239,101064,99421,194381,92807,106351,110023,88961,117926,190131,55757,88978,136644,116354,99544,94651,99456,99552,92888,106697,88957,105827,79970,134498,102378,105293,136648,101059,95112,88989,194382,99416,181057,101162,99418,175586,88989,196998,88981,88959,88954,168395,192617,123839,196844,80060,79970,106358,135697,63924,143463,92312,101063,101955,72141,138123,97846,92809,138084,115162,92809,48659,144341,105529,88950,118056,88049,101877,136941,145499,195243,196712,118056,159735,55757,101877,115162,194548,144341,197001,106359,99553,72141,96435,88960,195613,49854,106349,99452,159740,99456,144319,182566,105529,88066,189563,69697,101061,106349,101164,143499,95088,48695,88966,182566,99421,99544,136487,136644,106350,106351,88966,179589,94651,92480,106352,93156,177602,159739,88994,100138,105295,92888,196848,110023,105828,99452,175580,106697
"2",99422,194548,95088,99412,106351,168395,96435,185744,97851,88965,99418,88973,101162,101164,194548,99453,88955,143462,92480,138123,99468,99423,195243,99548,117530,105830,92310,101061,177025,143467,90309,55756,105296,88961,95112,103539,106361,88984,106357,101060,88960,105826,96329,168395,105699,88959,106351,138084,48695,159734,192598,88989,92481,105297,159741,95112,106356,34888,196999,196545,89000,134498,102378,159739,64085,172168,106352,135697,99418,88995,101165,88963,145499,101828,106349,194380,88993,93156,105293,143471,196998,97695,97415,143312,187940,192672,196842,136891,195243,105523,101166,99431,101963,145499,101877,99454,101168,92807,196737,101957,86828,49853,88049,196998,105524,88999,106697,99437,88962,87420,196999,20679,105525,99374,105297,196843,143450,95090,101162,97846,101165,106356,92312,175580,137680,101955,95088,106356,159740,192618,101169,87420,99544,92310,136647,101062,109490,57944,95094,88970,143312,99363,197000,97693,105604,88965,97695,143469,88998,92888,89952,97411,88049,194548,88993,105768,144341,159741,195613,159738,85939,179589,149547,136891,99452,134304,168395,89952,92312,118056,101063,106504,88066,99553,194382,48695,88995,136643,101875,48659,134302,143449,101164,95079,104812,143462,168395,99416,97409,159736,88999,99457,88961,88965,101873,144319,95092,106351,57944,136891,144341,197000,143471,101170,86829,101169,97439,105241,105767,196842,101160,80838,88957,95090,88953,88984,34888,189497,196712,144122,97847,96435,92481,130792,159735,49853,99437,159736,182566,57944,87420,118056,49855,159739,99542,105239,106359,196999,49853,109490,143455,159738,136481,116354,172168,143469,88969,109490,64085,196846
"3",105295,99237,106668,88049,99468,194382,134498,36274,85943,143450,88980,101957,159738,101064,92313,185744,96435,99412,194383,88965,105826,91830,99437,99548,105293,101171,97410,101062,93156,136648,101962,181056,99751,99452,55757,97733,88049,105699,97440,96435,101160,99437,101061,97695,194548,110023,88970,196545,85939,141537,145501,89952,105529,189497,99420,159737,92888,107353,185533,88995,88997,137680,97414,105294,99415,145501,186975,195613,194382,143462,185744,88068,88950,136481,99453,99454,195243,89000,88974,95090,99416,101064,88993,101163,145501,107352,138123,85958,143452,88956,101170,136941,106483,177025,106352,93156,101962,101060,57781,105699,106352,99751,88963,105294,99414,80838,134506,55757,105239,28850,99419,123839,101165,91830,136648,118056,159739,99425,99426,101165,106483,105294,159741,102284,179589,99426,136481,105699,99426,195613,90309,88966,99424,190131,101163,101877,101159,88997,101160,105241,95091,101168,95095,88998,101059,141537,88960,189497,197000,105830,99542,99423,97733,106353,91830,159734,95092,99237,105238,159735,105827,101064,86828,88966,197001,196712,72140,196848,89000,138084,143379,99546,196999,159737,99419,99421,85939,187940,95324,103539,105768,135441,177022,99418,96875,159736,99419,90309,99368,186975,101161,99414,103539,137680,189497,101059,106358,72141,88965,136643,99413,99417,96328,101166,88984,49856,171026,159737,55757,99546,99436,91830,99237,192618,144341,107353,95079,97415,105523,99421,95079,97415,143471,101166,171375,91830,106697,106359,48685,91830,181058,105294,97409,144319,97439,88950,87420,181058,92807,101063,136487,196545,102378,88965,136481,88992,187582,97694,149547,99374
"4",57781,92481,143449,95089,94651,117530,99553,130792,105523,101957,143195,99368,194383,177602,99431,97695,105238,28850,123839,97439,101164,95088,196847,138084,106353,99423,137680,136941,101162,85958,194383,92436,134506,88959,85943,99453,149547,99413,175586,85943,88957,88954,96435,118056,196844,106357,88970,101170,196712,99468,189497,194380,97846,99544,141537,105293,106668,143499,89952,101061,99416,99374,63924,97853,172168,159740,88978,105826,106352,109490,97410,159736,93024,159737,101161,171026,105826,194548,86828,63924,88993,63945,105527,99412,138123,63924,55757,88981,99553,196355,149323,99546,106360,196999,94651,101170,20679,104812,105296,192617,99454,99542,106668,136487,89000,136645,49853,99436,136643,88998,88963,179589,105238,136646,88969,100138,99546,101059,105699,141537,196846,189562,179589,98907,143449,97440,99418,96327,105295,95095,88973,196998,49855,105829,195243,101877,109710,101963,105524,196355,106361,106353,192617,105241,99426,92480,94651,159740,192617,64085,99552,92807,171026,92436,48685,88974,89002,101163,95088,189565,115162,99368,99419,196848,101061,196846,175586,96875,57944,116354,88956,88961,181057,99420,118056,85958,192672,175580,187940,90309,102378,105527,63945,99415,105523,86828,135697,63538,49854,64085,55757,96328,99414,97417,186975,99548,93693,95095,197001,99419,88998,118056,49853,179589,168395,92480,88978,88068,136644,101962,99457,20679,101061,89002,197000,134302,106353,106349,130792,28850,197000,172169,80060,192672,101167,189565,102378,88964,102284,101062,194382,106357,105830,110023,97847,106483,57944,97414,97417,192598,143467,168395,106356,64085,105297,159735,88957,105296,195613,168395
"5",106352,99425,192598,99548,92312,177022,106697,101060,99548,86829,99437,138123,88959,88977,88957,99437,105527,137680,171026,89000,196999,185744,85939,80838,195613,195613,110023,101828,194079,105827,105826,96875,144341,138123,106697,97733,92024,143379,106360,189565,88998,88969,105524,48659,195243,192672,97851,88969,96327,88993,89002,99457,106538,138084,159737,80838,88965,105828,143312,80838,143452,181058,101160,159741,88049,88066,88964,88973,159738,92310,107352,98907,143195,187940,135697,48659,159738,136644,101165,97695,143449,105826,107352,130792,97410,136890,49856,106504,109710,106538,48695,101160,96875,159738,196847,96328,99416,88961,86828,85940,103539,99420,168395,144344,101963,95079,138123,159740,97695,106538,138068,88962,106538,105293,134506,159741,145501,105238,181056,91830,38348,136647,159741,196842,99415,95090,101166,34402,106349,88999,105527,99548,96329,99453,97409,49854,101875,149323,97846,99416,97853,101828,99417,93693,196861,101064,101957,99413,144368,145499,105525,99457,101157,101164,192618,143449,105293,48685,105525,92024,88956,123839,34402,102284,49854,88977,99421,177025,143499,92313,97409,136481,144319,175580,159735,88980,187940,144368,99425,135697,134304,99416,106483,109710,101162,99416,144341,144122,99368,88981,197001,88068,93156,99454,88965,109710,109490,88956,143379,88957,103539,196842,189497,99454,92807,99452,99437,105604,196848,115162,105524,97428,88969,69697,172168,101962,95090,106351,196847,143195,34402,88998,135441,48695,88964,97414,181058,107353,105826,117530,182564,123839,136645,99413,168395,136645,88995,194079,88955,194382,109710,105829,99436,85958,101163,99426,99413,97410,92310,88993
"6",88959,99436,101166,101169,99436,196861,136644,136645,196355,101169,116354,194548,151894,143195,101061,105768,95095,88978,88969,194382,90309,88066,97853,136891,196848,101167,96875,88068,100138,105524,88984,192617,99418,196355,182566,171026,123839,137641,105241,99542,172169,85940,88966,101169,106361,106352,95079,49856,101828,85939,97853,80838,101168,106483,88950,196545,88993,105298,105298,99412,106668,106349,99368,130792,143312,88955,143455,96875,99456,20679,85943,175574,95095,105296,85939,143379,196842,109710,186975,99436,175574,101159,88963,105529,106353,97411,88997,105525,48685,88981,91830,99552,106697,97694,63924,136481,105527,99368,88984,106351,105604,100138,92313,97417,187582,136481,88980,138068,186975,69697,149323,143499,101167,28850,136643,48659,136487,196999,192617,99419,196842,194079,137641,136890,96327,99431,187940,141537,88999,99424,159738,88950,189565,136481,196355,196842,196736,172169,88962,177022,109490,175574,101059,99452,194380,101169,49853,88974,143499,159735,196737,134506,88963,194079,93693,192598,99544,136648,149323,196842,99422,115162,196712,175586,159740,106352,145499,105238,105239,106483,144344,88959,105294,95112,102378,101955,105297,99418,159740,196355,172168,172169,105523,92436,106353,101167,134506,105241,105239,171026,48685,105297,97851,136890,106350,192618,63538,168395,101059,101165,63924,99424,97411,179589,28850,159737,159737,105295,143462,92888,99420,99751,123839,99418,99414,101962,172169,99425,88999,175580,179589,101162,105767,143379,101170,106357,55757,85939,99418,95079,88994,20679,189565,135697,49854,195243,99374,99365,105699,196736,105296,159737,105296,104812,159741,88968,101064,105296,38348,88998
"7",101059,171375,116354,97417,48659,136487,143463,99437,88961,92312,194380,136646,95090,106356,136891,159738,88950,92310,99544,196842,106538,134292,106483,88956,196712,105829,192598,195243,187940,107352,194382,99453,99453,99423,194383,117530,189562,105767,97853,92024,187940,88984,88957,88965,99425,88994,149547,63538,97693,85940,49855,151894,143450,144368,196736,118056,72141,130792,97853,88974,99452,28850,99425,96875,196846,99751,137680,99437,105293,105293,136643,101163,136645,89952,107353,99416,136891,196861,138123,98907,92313,159736,101168,80838,105525,96875,99412,143462,143462,189563,49854,194548,195613,185744,144343,79970,88962,99457,101955,101962,90309,97695,64085,101162,182566,159737,88068,97439,97693,99425,88964,136646,192672,89952,88981,102378,196861,134498,89002,105527,159734,93024,88965,96329,101171,136487,99416,88989,106504,117530,101161,187582,57781,136644,88969,92436,99456,99426,171375,138123,143455,88955,105524,88973,88960,101877,80060,79970,144341,95112,106358,99456,196847,101170,144319,69697,189563,20679,182566,187940,143471,88981,138123,88977,134506,94651,134304,92310,197001,95089,101060,97415,185533,171375,143312,99365,105529,175574,99412,101166,196844,49856,99426,159736,85939,182564,36274,106360,99548,143449,99431,20679,106360,105238,159741,175580,99423,89000,136646,189563,187582,89000,97428,116354,143471,195613,143463,134292,181057,110023,101166,101170,192672,136481,88973,105529,99422,171375,88955,96875,106353,136646,196844,106359,101160,99423,99751,182566,97414,101163,88066,189565,92480,88955,175574,105826,172169,136890,72140,105699,100138,92312,63945,99542,88957,95324,86828,106358,143499,72140
"8",105294,102378,34402,89002,197001,57944,196998,88997,97851,92312,97428,196843,168395,106358,88993,55756,149547,95088,136644,123839,196545,196842,106361,88977,99431,88973,137641,101062,92481,95089,101060,177602,159736,95092,95112,99424,101061,99437,64085,88965,69697,101957,101160,109490,95091,49853,99419,86828,88981,95091,88966,106483,105826,134498,88959,106353,99456,143449,196736,144344,97693,88973,143455,197001,116354,88980,101168,159741,97851,98907,117926,105297,187940,97409,172168,92436,159741,137641,48659,117926,136647,192618,88989,185533,196842,99420,101164,88999,101171,115162,143462,99453,175586,105238,95091,192598,99419,99542,117926,88954,141537,101962,143499,92480,138084,99416,171375,95088,101873,116354,97409,93156,55756,99553,88959,95324,88966,88992,159738,134304,99422,93156,88953,136646,49855,49853,105604,63945,185744,79970,172169,105296,99454,143195,192618,177602,134498,130792,194079,101955,192618,105241,97851,159736,96435,144343,105239,95089,88973,101168,99457,34888,143450,97853,101063,92312,92312,106349,101159,143469,101064,101062,101877,90309,105829,99416,99453,88998,106360,88997,105525,101171,106352,80060,95090,143471,97410,95089,144343,93693,69697,99437,138084,105768,97439,99542,88981,196998,136647,92436,159739,88997,143312,49856,85943,136487,106668,172168,88966,99548,99374,196998,99751,92481,99416,106697,143462,106668,105296,115162,49855,136481,92481,159738,99363,99457,97417,196843,88993,117530,136646,134292,95095,134304,141537,95092,177022,106351,88997,99426,99418,104812,168395,80838,168395,185533,85940,187940,99416,196736,63945,101875,69697,106668,186975,105241,99424,88066,38348,34402
"9",99418,182564,49854,92481,101957,97411,34888,99423,189563,92313,117926,138084,159738,85940,105768,95094,101168,137680,105768,95090,88978,88980,196844,99412,101875,99422,123839,99453,99237,117926,101061,101168,92888,97440,136487,97411,136648,196848,88984,102378,55756,72140,88965,88956,143455,80060,105523,196737,135441,88066,105241,88957,187582,194381,105238,101168,93156,196712,99542,99454,89002,189563,181056,94651,115162,101166,88956,117926,159739,181056,107353,137680,103539,106356,143463,105523,48695,63924,96435,118056,144341,100138,97733,99420,101063,104812,48685,99421,88966,88960,99421,110023,88992,101161,102378,92481,144344,99416,99454,197001,145501,72140,105768,136648,136647,88959,189563,88951,96435,143195,88998,69697,48685,48659,187582,88068,136487,99420,97846,159740,168395,135441,99374,99423,88995,99414,48685,88974,28850,99552,115162,90309,196842,159736,105604,99414,101161,136647,101167,97846,97414,143462,101828,172169,92481,95091,106697,88965,55757,143463,95324,88960,97694,99423,110023,105829,143312,63924,197000,101170,105699,97851,99751,181057,149547,194381,88981,88998,171026,101877,105829,196843,93156,99363,105523,88984,94651,20679,99542,136648,141537,136890,175580,97440,106361,95090,135441,106352,196355,192617,95090,105296,192618,88989,186975,101160,117926,177602,106351,136487,196848,196848,103539,99420,143462,88957,197001,101161,187940,106538,88978,101163,48685,144344,105767,106351,143455,196712,138123,49853,88966,151894,115162,101063,97415,101957,195613,189563,99457,185533,143463,97410,88951,106350,88961,95089,135441,101164,105294,106359,95090,96327,88980,136890,34402,105767,101873,88954,97440,143452
"10",192617,99452,145499,99237,48695,159738,72141,88993,92310,175586,88995,101164,134304,102284,88970,171375,101955,196844,101059,110023,105767,97846,88959,88969,88955,194380,80060,86828,99552,88981,190131,97851,101162,105294,88980,175580,96327,192618,92024,101164,189565,89952,106483,97428,159739,88981,99751,88995,106668,88954,181056,88068,57781,192598,196736,88980,89000,49856,136643,28850,63538,99552,172168,196848,179589,95094,86841,49853,101060,88965,105239,88969,85939,96327,172169,100138,99368,100138,105827,182566,105296,69697,88962,175574,149323,88950,172169,101828,105826,99422,88981,136481,96329,99546,105768,101167,97440,194383,48685,69697,88960,105829,101873,143467,88993,99418,196355,92481,99456,138084,86841,102378,72141,159736,130792,48659,38348,101873,57781,99468,143452,97853,88962,144368,101875,99457,101955,88994,181057,105699,143379,101875,88965,106697,99553,105827,49854,38348,189562,99457,196847,159736,137680,136644,88066,99751,88969,49855,98907,69697,95089,105241,101962,88954,88961,143450,105238,88995,88959,86841,196712,97695,145501,96327,101161,196842,97846,136645,101828,134506,97853,99453,117530,57944,196999,144344,88965,181056,101163,88993,97428,105699,88999,143463,101160,138123,106361,88981,95324,101163,177022,48685,88066,88978,106360,92480,88956,85958,175580,181058,109490,88953,86841,101167,101059,194383,101062,189497,105768,99237,196842,99415,88969,118056,99468,105604,177022,143455,137641,95092,143462,96329,105298,105524,171375,105525,105523,130792,194381,99417,88978,97851,149323,97440,117926,106483,92807,105768,143455,88973,99368,115162,88977,123839,196861,85940,92312,99418,106360,88965
