"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250"
"1",174454,85557,80216,116452,124277,189495,189495,131112,86346,79588,86346,86346,175566,178744,93035,85506,189506,175566,179590,176307,185605,180677,178805,144682,176331,86299,149692,185596,22661,189503,196819,190565,124277,177008,85561,85557,188676,190061,190568,178865,178478,190568,86278,189503,28855,190568,93026,181609,190735,189122,188978,79588,178740,86278,84824,179335,174454,86257,171377,171337,85494,178198,186803,86284,178743,189532,189125,87004,193000,178274,179482,176310,176339,185606,185745,80064,80216,85561,176501,93034,176311,189532,86278,189505,93035,190331,171025,178743,178201,80216,189571,189532,68053,28855,189532,176315,178743,85505,37202,174736,174392,114631,85490,178869,98601,179622,178866,85512,176308,80225,181611,178865,178743,93016,80223,196928,81115,93016,93536,186803,178523,184670,86300,135700,88618,181803,119437,93036,176292,116452,190331,93035,185597,79811,86278,86302,77197,176292,85512,189125,131112,187752,149620,114631,196819,171377,189504,85494,86257,184662,187938,178478,189331,190330,185600,79588,86258,185600,178866,189505,185747,184662,180787,93536,189503,178830,120215,144272,175556,178830,176313,174736,93207,196929,176331,184675,178202,124277,86484,176309,178882,189125,86346,181090,178200,171378,178274,184663,178201,84836,171376,178865,131112,189499,68053,86285,86275,178805,184674,86302,84714,175554,190568,185601,98601,178743,115685,179482,93027,196930,175331,184664,176311,176923,22661,98601,180868,86280,189502,93026,189503,184669,196819,196930,175556,178870,178866,171378,93207,86275,80572,85489,184669,86286,177587,184673,178743,144272,184673,88618,189500,184673,93016,174622,120215,93027,178478,86296,178127,184677
"2",78694,171384,85565,188676,178879,185596,189331,175566,174736,185604,174717,179072,144271,185600,86276,185747,190568,178806,187752,184599,37202,85489,184670,184676,178274,85494,68054,176307,178867,79588,86275,185602,149620,178742,92909,93036,85483,184666,189571,184666,85494,38064,93207,189125,176313,184669,37202,171354,185598,189314,176310,180807,189503,178803,184677,189316,185603,174736,86303,149622,184662,84836,187939,189532,184667,85512,196931,185748,86276,176292,115685,184600,22661,185599,180807,185602,174666,178805,189507,179622,144272,178053,27952,179482,85488,27160,86279,178805,80219,93030,85490,86300,186803,180461,184663,189122,178127,174392,176339,135698,189503,181611,177008,86301,181520,178113,85505,115685,180347,189503,79588,86302,131112,92323,174626,176292,27952,179072,174622,171379,189331,185603,93536,79811,185748,124277,85506,178198,80223,189314,80826,180461,80225,92323,93026,178200,185745,184669,176311,176313,185596,86301,180787,181803,189402,178734,178127,84836,34816,189314,174622,176919,98601,114631,34816,85494,189316,184599,85505,178200,87004,185602,38064,86257,184669,189782,178734,178127,177587,184668,78694,185605,85564,179482,93027,171025,135700,175554,190330,185601,92491,185604,34816,178879,181611,185600,28065,178478,175554,189782,85490,185602,86257,190334,22661,149622,189500,180880,178870,171337,184662,184666,180782,185595,185602,86285,176923,184675,80064,178202,178127,86484,180461,179482,86303,187928,85494,181609,184670,176307,178128,93034,86300,171354,93016,189402,176830,189506,176308,185598,184665,189401,80826,176311,38064,177606,179653,180677,86296,124277,85488,85557,189316,189504,80826,185747,149692,180462,178274,114631
"3",189496,93207,185745,184677,180677,85564,175554,184660,188676,38064,189400,176292,184599,175565,85565,174734,185746,180461,131112,86346,78694,179622,189502,174717,178694,176501,171377,176309,80712,189496,185601,176923,189507,189507,175331,178742,178694,120215,189496,184600,184676,119437,185746,178806,124277,176331,176504,175554,86298,178743,178870,189314,80712,178201,144682,181803,171337,176919,185595,86278,135698,176292,178883,178744,93030,85505,174622,85948,28854,189501,189506,190556,177544,196930,178865,176919,176830,178198,187928,184668,185599,180677,175566,190556,189314,86298,93016,175554,68053,179072,174666,185596,84714,93025,184672,196819,176315,120215,180347,184600,93033,85557,184667,189571,185606,86296,174454,184668,86280,86278,84824,185745,179482,184600,187752,176291,174734,86298,189125,196929,178866,189571,80064,190331,174734,184664,80826,185595,187928,171355,93536,179622,86258,80216,189122,180461,181609,27160,175556,86257,86280,176292,184677,189331,176292,185595,185745,114631,171355,179653,189532,184665,189402,189500,188979,79588,86278,176313,185746,88618,180347,184663,190735,189495,80223,180787,176315,86280,178274,181090,22661,178053,114631,86300,92907,185605,175556,178523,178109,178113,171025,176310,196819,149622,174734,184665,149620,196928,177606,176308,178865,179072,189503,93536,84824,86300,175565,174626,22661,85488,178274,176310,178867,174626,78694,190045,37202,174734,185601,180880,86302,176311,184664,184661,28855,77197,175566,180878,86286,85484,189402,185596,185602,176308,176357,175554,187928,195280,185603,178803,115685,93033,98601,174392,79811,189504,28854,190334,93536,180462,189500,176339,184666,196819,93207,185595,178879,190330,116452,86257
"4",178865,174622,85494,185749,189122,176313,190334,178202,149622,171354,187938,93030,189496,185598,178200,184674,98601,174717,178867,185606,179622,189401,185599,196930,80826,185750,196928,186803,187939,81115,86275,38064,181611,176504,195280,189505,80220,98601,171376,93027,84914,195279,80064,93016,185600,184661,185604,185603,184666,93027,196929,86286,184664,177585,86302,86299,85506,174626,174666,174736,89607,93034,178867,178202,185594,84836,179335,176830,80223,86484,85494,176501,178743,176339,86303,174622,178830,85561,85561,178882,176923,176307,190556,184673,98601,180880,178805,86284,28065,180868,86257,93027,189506,185746,178744,86280,178866,178882,190567,135698,80572,79588,176357,80220,184663,196931,187939,184663,116452,86258,178867,89607,78694,188676,196819,149622,178882,196930,22661,86285,187928,86279,184676,178198,190565,174626,80064,93034,144271,176307,176504,184665,189782,86356,189402,175554,185594,38064,178743,178744,86284,180782,189503,180880,68053,176339,85948,175565,38065,98601,178879,174392,93030,180880,176830,93034,175331,178274,68053,171376,178744,179072,185599,174622,175554,185749,178803,176501,189496,86275,189503,180462,174392,184672,189502,27952,135700,86300,93030,185597,177008,174626,190568,135700,184669,189400,92907,184669,184665,98601,176292,189504,85512,87004,22661,180807,93025,174666,85948,181609,68053,176504,178113,115685,185747,84836,93034,98601,185604,180461,28854,184668,185602,189782,185600,84824,189314,120215,176501,80219,85505,68054,86286,86279,93036,86280,180782,80216,175556,177585,85505,185600,189400,85506,176309,189505,187939,177585,176923,78694,185749,185605,189400,177606,185749,184676,178830,93025,38065,178109
"5",176923,177606,180462,87004,80826,189499,181609,176331,37202,174454,178128,175554,119783,115686,93034,178743,184663,185595,84714,181609,93536,181611,93027,85494,176308,144272,79588,149620,184670,196551,174666,178865,86346,181609,178830,93034,86297,86284,179482,184672,178742,189507,178127,184599,189501,27952,184666,86299,185595,189500,174422,180807,144682,178274,196551,189495,185745,144682,189500,179653,86301,93036,184672,87004,93030,178128,144271,176292,178870,189496,189495,80572,181611,178128,190567,185603,171377,190556,114631,189122,78694,178274,175566,34816,178830,196551,196551,185594,80219,80219,171025,81115,85564,196931,93033,189314,184663,189505,195280,171377,171025,34816,190331,189400,86258,193000,85489,185747,175565,184662,86285,174392,178202,174392,178879,180462,178105,176310,86300,79588,85488,176307,176308,22661,190330,93027,184661,27160,84824,178105,189499,196929,85561,176358,86299,184666,176311,189316,187938,178743,93207,189503,186803,178744,85488,196819,185605,196931,86301,136494,184670,180677,174422,93035,178694,86303,185606,124277,190334,188978,185602,176923,176331,86300,190735,85489,184663,189315,84714,84914,84914,124277,175554,84914,34816,180782,184599,179653,68053,184599,86302,180807,190565,184661,93036,181520,185750,93025,92907,171355,179482,175554,184599,84824,177544,171377,176919,180347,92491,86303,93026,176916,86484,184666,175556,38065,176923,86275,185749,93030,178694,189571,178805,184668,86278,178053,86258,85494,174422,180462,185745,86286,176919,184672,178523,22661,178869,174392,184677,86300,86299,174734,85490,86279,175331,184599,77197,80064,27952,86299,179335,176292,186803,178803,187939,185750,88618,185745,171378,189400
"6",185601,176307,84824,79811,93026,86282,144271,80064,86282,85505,184600,178128,93027,189504,179072,184670,85565,84824,178866,174422,84836,185748,177008,175554,171025,86296,171354,87004,120215,68054,176313,116452,85506,189503,86302,178870,80064,93207,184599,85490,93207,85490,174736,196928,190045,86356,176916,38065,85561,174422,149692,178742,93033,93033,184600,189495,176311,177587,176339,189505,178865,86298,177587,196928,86282,174734,86286,177587,84714,189507,86258,176310,124277,184665,37202,85564,178740,177585,93025,178198,195280,38064,196931,184676,38064,37202,176291,124277,135700,190567,80216,78694,176339,181520,86284,85561,179482,38064,178806,115686,185599,184676,85494,176307,85565,93536,185601,144271,37202,86298,180868,93034,115685,187938,178867,184673,68053,93026,85490,188676,85494,180677,149622,85494,93036,174626,120215,178742,184668,80225,84836,181090,189501,178478,84914,85561,190565,196929,180787,190556,185750,85505,178274,190568,34816,189315,80826,180347,86286,135700,178109,27952,177008,178803,184672,185750,174626,135700,84836,85564,185602,190735,180462,79811,185605,176291,28854,22661,184665,178128,84836,120215,171025,189125,119437,184675,77197,177544,22661,116452,185606,86278,85564,176919,120215,189316,189402,119437,85490,180677,178883,190334,86286,176308,176919,184667,174454,149692,179622,180782,27160,196929,86278,86282,185602,79588,185600,176339,178127,189503,114631,189507,176357,93025,84714,85484,80223,178870,184665,190568,86258,85564,190556,196931,176501,185746,27952,189122,178478,185750,189402,174736,85557,80220,184667,177008,190565,80219,184663,188676,193000,78694,185746,171355,189781,189503,38065,180347,178869,179653
"7",181803,176358,180880,28855,93536,174392,87004,184660,86276,184667,184660,184662,178202,180878,81115,174622,174736,28854,180880,184661,180677,180677,86301,136494,80712,185595,188979,185606,86286,176307,86356,178865,179335,178201,185745,86284,190568,176919,87004,171377,188979,178742,181803,178694,85484,93026,178743,176830,185600,174626,144682,27160,176501,176504,178128,178879,80223,178523,189495,177544,180347,86300,80220,178882,178202,184599,178882,184666,28065,175554,92323,193000,180347,88618,184677,114631,187938,176309,176916,181803,184675,185594,189402,196551,189532,174717,86258,93030,80219,80223,176310,184669,177606,86282,189125,176310,114631,185745,86279,92909,185595,185600,85565,176291,190567,176919,175331,176504,184677,86356,27952,184676,38065,184669,177544,190735,93033,171337,189782,184660,185749,184665,180347,188978,86297,178870,85565,184599,86356,86284,176331,80064,184667,84914,184674,179622,189125,114631,149622,185606,178478,189501,171337,135700,189505,86346,178806,189506,88618,171378,84824,174392,185605,189400,171376,193000,174422,176830,185606,184677,86302,81115,171337,86285,80826,80219,185749,77197,177606,184677,195279,85484,174734,174454,189507,92323,189402,86299,34816,184670,86275,178109,196551,176307,176309,176339,185603,190735,189400,184674,190061,180807,89607,189504,180462,80220,184674,176313,171354,144682,189503,85489,176308,178740,196551,120215,85505,85561,178805,84836,178882,189125,177606,27160,86258,178478,181520,188676,86302,84914,171337,171377,88618,149622,180461,176358,85557,86279,178866,174622,176916,86299,189505,144272,171384,180878,92909,28065,86297,78694,178109,184672,149620,178803,178105,176313,189495,178866,190735,184676
"8",190735,196819,178803,188979,179072,80064,185605,184666,135698,185594,81115,184669,81115,196551,184663,80219,84836,85494,174626,171378,84836,188676,179072,80216,185597,185594,178744,181803,189501,87004,80225,38064,185749,178867,184666,92909,178883,185601,179335,86302,180807,86299,180782,185598,185594,176291,180677,119437,185603,189782,86280,178869,38065,185597,196819,84836,185606,178274,180807,178113,86282,190565,80225,115685,28854,184661,186803,187939,86300,85564,179590,196929,189507,196551,189571,175554,189125,85490,189507,114631,115686,185601,86299,178742,80712,27952,179622,93026,93033,185603,88618,184675,93025,114631,175556,181609,171337,190735,178128,184666,88618,136494,86257,80225,178113,190556,171354,178882,186803,171025,185749,93035,178882,177585,92323,178867,179622,93016,174422,86285,184599,189401,171384,149692,175556,28854,37202,93035,177585,180868,180782,85512,119783,135700,178742,92909,92323,38064,184675,93036,178105,27160,185596,178866,93034,189496,38065,178830,185596,179335,86282,195279,80225,188979,180880,84714,178053,184674,176308,180878,184667,86276,115685,178869,193000,120215,184662,178053,177008,93035,189782,196551,190330,92907,178274,86296,171376,185601,179622,190330,84824,27952,85506,85490,179622,86257,184672,86484,171376,174626,176919,180878,190331,27160,188979,189781,189532,174626,185748,185603,190556,92491,180782,190061,86284,93536,184677,85506,189495,181611,185750,178109,174666,78694,186803,86278,181611,185746,184673,77197,177606,86302,81115,86303,176501,85490,180880,184670,178734,184600,119437,185604,86346,80219,185750,116452,176308,190565,79811,176291,178274,176504,171378,92909,184674,178113,178053,89607,131112,185749
"9",86282,93025,92491,178523,189501,85494,184600,193000,38065,185596,98601,85565,189401,85484,189499,144271,184668,195279,178198,86257,176358,195279,180462,86284,178866,86301,189331,185746,37202,93035,178740,185747,178198,185749,189499,86302,190061,86296,179622,178523,178869,184672,190331,184667,178200,176923,196929,85488,180347,185749,181609,87004,116452,120215,181609,86284,180462,178202,28855,80220,180807,185596,179335,178128,176339,93027,187939,85494,189504,178523,185746,85512,176501,189781,149620,38065,85565,86346,124277,184660,196551,174734,179072,196930,86276,85505,176339,171378,85512,189505,177585,85512,22661,178869,77197,144272,85490,85561,178200,80712,184662,185596,28854,93207,184677,80223,80572,93030,195279,190334,93033,92491,178830,190061,190556,85557,187938,189505,176308,180461,27952,171355,93035,188978,184673,135700,184675,86280,34816,187928,180461,180677,184676,176919,86279,190735,174622,189504,184672,86285,178866,93016,86278,177587,177606,85948,34816,93034,181520,135698,176916,190735,178201,189504,176311,86284,184662,176504,171384,80826,178523,86279,85490,184672,171355,28065,175566,86484,80826,180807,178198,92909,179072,86346,80223,181090,174392,174734,176358,171354,86257,171377,85506,176309,184667,176307,85488,28065,86300,171384,184663,184670,86298,178870,84914,171379,174626,179653,189122,178866,178274,92491,86297,180461,176315,185598,178870,190045,149622,88618,190735,184672,185602,184666,176358,189571,174626,176501,174734,185597,174736,185601,85494,177587,88618,178105,86303,124277,93035,119783,179072,176916,174622,79588,180782,171379,178523,85484,196819,176291,85494,34816,86282,178053,176308,184660,180878,176358,93026,181609
"10",174622,171378,190567,175565,85488,185599,179622,171376,178805,177585,80572,184663,185596,178053,190735,178053,144271,181520,84714,178200,179622,189504,86275,80223,176291,85489,136494,185603,135698,144272,114631,185599,85488,174736,124277,85488,89607,176830,177585,178202,185596,176308,185745,85564,178867,186803,178830,180461,180807,176315,149692,189782,177606,86484,174626,84824,178202,86299,187928,178105,184675,178870,171376,86257,188676,86285,92323,174422,185596,185745,178694,77197,171337,171025,188978,189507,178866,178523,176307,189125,184664,180677,196930,38065,86297,185598,86275,171377,185746,189501,171384,184600,175566,77197,176923,80220,189401,185604,38064,37202,181520,179335,86280,184660,189314,190330,176292,85484,190331,79811,185601,86302,86280,195280,189400,190061,196931,196931,178879,175565,174717,114631,184600,189505,176919,87004,181520,80216,178882,184667,189122,178113,189400,86276,171337,189532,184676,189782,80826,185594,178105,178830,120215,86279,195279,171384,189500,184661,189500,189782,86279,93536,181803,119437,174736,85483,136494,178113,116452,189503,178201,177008,84824,84836,187939,178867,174626,86356,89607,185749,171377,189502,190331,93033,86302,98601,185606,190735,189402,188978,190565,92491,175565,196551,93016,85565,187752,180461,184664,80216,181609,86346,86298,115686,189505,85561,189499,86284,86275,189316,80219,180807,115686,196551,178127,180787,93036,86303,196551,178523,185602,86298,184672,180461,185750,184668,178869,178128,176292,190331,189500,93035,28065,178879,196930,131112,184599,184661,189400,180347,195279,174626,120215,185600,135698,38064,185596,187939,86302,27160,196930,178694,189532,84914,86286,178870,190556,174666,196929,86296
