collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
7204,173.266663,-41.299999,11,Changhsingian,,254.17,252.17,NZ,Stephens,,,Aperispirifer nelsonensis,,,
7276,168.5,-45.5,9,Changhsingian,,254.17,252.17,NZ,,,,Wairakiella rostrata,,,
8103,99,18,9,Changhsingian,,254.17,252.17,TH,Huai Thak,,,?Palaeofusulina sinensis,"""shale""",,
8145,99,18,24,Changhsingian,,254.17,252.17,TH,Hua Thak,,,,,,
10642,-105.783333,35.200001,12,Late Triassic,,237,201.3,US,Carita Creek,,,,mudstone,fluvial indet.,
10696,14.066667,54.316666,10,Wuchiapingian,,259.9,254.17,DE,Zechstein,,,,dolomite,"reef, buildup or bioherm",
11143,45,20,6,Zechstein,,259,252.3,SA,Khuff,,Mindhnab Shales,,claystone,fluvial-lacustrine indet.,
11167,-106,39.216667,13,Permian,Triassic,298.9,201.3,US,,,,,,terrestrial indet.,
11222,-106.783333,42.966667,1,Lopingian,,259.9,252.17,US,Phosphoria,,Tosi Chert,,chert,marine indet.,
11223,-106.783333,42.966667,43,Lopingian,,259.9,252.17,US,Park City,,Ervay,,lime mudstone,marine indet.,
11224,-106.783333,42.966667,23,Lopingian,,259.9,252.17,US,Phosphoria,,Retort Phosphatic Shale,,claystone,marine indet.,
11227,-106.783333,42.966667,13,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11228,-106.783333,42.966667,45,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11232,-110.816666,39.599998,15,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11233,-110.816666,39.599998,5,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11234,-110.816666,39.599998,25,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11273,-109.42778,47.0625,22,Lopingian,,259.9,252.17,US,Phosphoria,,Tosi Chert,,chert,marine indet.,
11275,-109.42778,47.0625,18,Lopingian,,259.9,252.17,US,Phosphoria,,Retort Phosphatic Shale,,claystone,marine indet.,
11278,-109.42778,47.0625,6,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11279,-109.42778,47.0625,23,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11282,-114,44,1,Lopingian,,259.9,252.17,US,Phosphoria,,Retort Phosphatic Shale,,claystone,marine indet.,
